GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notificaciones,com.example.notificaciones.controller,NotificacionController,0,16,0,0,0,5,0,2,0,2
notificaciones,com.example.notificaciones.service,NotificacionService,8,52,0,0,3,15,0,3,0,3
